specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
humbertii_4,4326,43.7975,-22.875,POINT (376646.4194813568 7469814.360957881),9,0,False,477.0,11.0,346.0,7929.0,5.0,15.0,12,6.0,68.0
perrieri_261,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0
perrieri_262,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0
perrieri_263,4326,46.333889,-24.560833,POINT (635084.8917711123 7283025.482374048),9,0,False,253.0,1.0,247.0,7366.0,10.0,18.0,7,6.0,0.0
resinosa_264,4326,47.701944,-23.175278,POINT (776611.7866381853 7434508.718005167),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0
resinosa_268,4326,47.701944,-23.175278,POINT (776611.7866381853 7434508.718005167),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0
resinosa_269,4326,47.757778,-23.083889,POINT (782522.4195798635 7444526.464216628),9,1,False,10.0,1.0,231.0,7330.0,9.0,,15,4.0,42.0
humbertii_270,4326,43.610638,-23.078725,POINT (357689.0386163351 7447088.901125943),9,1,False,28.0,2.0,259.0,7354.0,,15.0,11,6.0,98.0
perrieri_280,4326,45.993359,-17.044592,POINT (605715.7257931107 8115243.328301542),9,0,False,144.0,11.0,129.0,7456.0,7.0,20.0,5,8.0,54.0
tsirananae_283,4326,49.353056,-12.373611,POINT (973623.8445715362 8628271.765814653),9,0,False,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0
perrieri_313,4326,44.272222,-22.853611,POINT (425334.6020387369 7472501.129658243),9,0,False,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0
abbayesii_315,4326,47.166111,-24.796389,POINT (718974.5237810896 7255860.966205925),9,0,False,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0
abbayesii_316,4326,47.136111,-24.842778,POINT (715860.4092442521 7250769.964015225),9,1,False,5.0,3.0,311.0,7362.0,,21.0,7,5.0,18.0
pervilleana_324,4326,44.28417,-17.54361,POINT (424026.1871600385 8060163.433476245),9,0,False,91.0,2.0,65.0,7729.0,9.0,18.0,7,8.0,27.0
pervilleana_325,4326,44.30139,-18.01528,POINT (426048.19479896803 8007984.497489377),9,0,False,71.0,5.0,143.0,7600.0,9.0,18.0,6,8.0,0.0
pervilleana_344,4326,44.31583,-18.03361,POINT (427584.3037171829 8005962.119704753),9,0,False,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0
pervilleana_349,4326,44.31583,-18.03361,POINT (427584.3037171829 8005962.119704753),9,0,False,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0
perrieri_463,4326,46.015711,-17.117819,POINT (608052.495283464 8107129.240210309),9,0,False,137.0,2.0,39.0,7796.0,7.0,6.0,4,8.0,17.0
perrieri_492,4326,46.015693,-17.117573,POINT (608050.7222855763 8107156.467825541),9,0,False,137.0,2.0,39.0,7796.0,7.0,6.0,4,8.0,17.0
pervilleana_493,4326,45.920397,-17.077081,POINT (597933.4077761312 8111686.841934608),9,0,False,274.0,3.0,146.0,7699.0,7.0,20.0,5,8.0,36.0
pervilleana_494,4326,45.923007,-17.07882,POINT (598210.23044008 8111493.13068094),9,0,False,249.0,3.0,238.0,7755.0,7.0,20.0,7,8.0,44.0
humbertii_496,4326,44.583333,-22.916667,POINT (457272.8980206097 7465644.630243062),9,0,False,613.0,3.0,303.0,7623.0,6.0,16.0,6,6.0,0.0
humbertii_502,4326,43.625805,-23.250722,POINT (359422.5018781469 7428059.36902496),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6,6.0,9.0
humbertii_503,4326,43.625805,-23.250722,POINT (359422.5018781469 7428059.36902496),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6,6.0,9.0
humbertii_504,4326,44.690055,-22.888583,POINT (468210.24437796004 7468780.536558478),9,0,False,788.0,4.0,123.0,7463.0,6.0,16.0,22,6.0,100.0
humbertii_506,4326,44.1366,-23.5318,POINT (411865.5851767542 7397342.999132204),9,0,False,94.0,5.0,354.0,7585.0,1.0,15.0,12,6.0,74.0
humbertii_507,4326,44.1366,-23.5318,POINT (411865.5851767542 7397342.999132204),9,0,False,94.0,5.0,354.0,7585.0,1.0,15.0,12,6.0,74.0
perrieri_509,4326,44.272222,-22.853611,POINT (425334.6020387369 7472501.129658243),9,0,False,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0
millotii_514,4326,49.786667,-16.4525,POINT (1011467.5626294343 8174949.434287034),9,0,False,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0
tsirananae_517,4326,49.35305,-12.37361,POINT (973623.1924143073 8628271.887355782),9,0,False,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0
millotii_519,4326,48.556111,-19.158611,POINT (874113.995799795 7877808.812782688),9,0,False,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0
dubardii_522,4326,49.1725,-12.487778,POINT (953747.6522378414 8615930.676070265),9,0,False,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0
dubardii_523,4326,49.218333,-12.578889,POINT (958578.37993952 8605751.270235546),9,0,False,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0
perrieri_524,4326,44.561944,-18.111389,POINT (453655.0801252412 7997435.6652677115),9,0,False,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0
millotii_530,4326,48.31888,-18.86944,POINT (849739.0276151416 7910340.056757211),9,0,False,1009.0,4.0,276.0,7805.0,11.0,7.0,14,2.0,66.0
millotii_532,4326,48.2925,-18.86611,POINT (846963.5556543547 7910760.968677763),9,0,False,1023.0,7.0,179.0,7592.0,10.0,9.0,14,2.0,60.0
heimii_533,4326,49.35305,-12.37361,POINT (973623.1924143073 8628271.887355782),9,0,False,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0
resinosa_536,4326,47.700278,-23.178611,POINT (776434.2876125993 7434142.631072203),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0
resinosa_546,4326,49.70611,-16.76055,POINT (1002039.2629539109 8140978.508391662),9,0,False,13.0,1.0,213.0,7688.0,1.0,21.0,16,2.0,59.0
resinosa_550,4326,47.724167,-23.170278,POINT (778898.4273240004 7435020.213109655),9,0,False,46.0,8.0,263.0,7236.0,9.0,21.0,16,4.0,0.0
millotii_556,4326,49.861111,-14.401111,POINT (1024587.2632736877 8402367.690688357),9,0,False,410.0,24.0,157.0,6554.0,10.0,9.0,14,14.0,100.0
perrieri_557,4326,44.272222,-22.853611,POINT (425334.6020387369 7472501.129658243),9,0,False,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0
perrieri_558,4326,44.263056,-22.845833,POINT (424389.89161773876 7473357.517090762),9,0,False,511.0,20.0,64.0,7633.0,9.0,18.0,7,6.0,19.0
resinosa_565,4326,49.256667,-18.565556,POINT (949495.5412336814 7941918.554668624),9,1,False,8.0,3.0,115.0,7582.0,2.0,,16,2.0,34.0
resinosa_566,4326,49.23388,-18.595,POINT (947008.7347414009 7938710.59530902),9,0,False,14.0,1.0,234.0,7606.0,2.0,21.0,15,2.0,24.0
tsirananae_567,4326,49.35305,-12.37361,POINT (973623.1924143073 8628271.887355782),9,0,False,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0
resinosa_569,4326,49.405833,-17.688889,POINT (967602.4266189564 8038763.60339047),9,0,False,60.0,5.0,158.0,7521.0,10.0,10.0,16,2.0,3.0
humbertii_572,4326,43.625806,-23.250722,POINT (359422.60418981465 7428059.369993826),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6,6.0,9.0
tsirananae_579,4326,49.218611,-12.165556,POINT (959332.8350570735 8651571.060893547),9,0,False,91.0,4.0,239.0,7837.0,6.0,23.0,6,12.0,4.0
tsirananae_582,4326,49.218611,-12.165556,POINT (959332.8350570735 8651571.060893547),9,0,False,91.0,4.0,239.0,7837.0,6.0,23.0,6,12.0,4.0
dubardii_593,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0
abbayesii_595,4326,46.45,-24.36666,POINT (647070.6204618097 7304410.220689219),9,0,False,408.0,1.0,307.0,7430.0,10.0,6.0,7,6.0,0.0
resinosa_598,4326,48.554167,-20.3725,POINT (871083.6199276892 7743286.659036701),9,0,False,5.0,1.0,2.0,7543.0,6.0,19.0,16,3.0,1.0
perrieri_602,4326,44.145556,-22.707778,POINT (412245.6174909298 7488575.926597946),9,0,False,906.0,10.0,264.0,7553.0,9.0,18.0,22,6.0,100.0
pervilleana_609,4326,44.561389,-18.117778,POINT (453598.0444822846 7996728.646278196),9,0,False,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0
perrieri_610,4326,44.472222,-17.939722,POINT (444108.44066143275 8016404.069405051),9,0,False,226.0,7.0,256.0,7610.0,7.0,16.0,5,8.0,83.0
dubardii_613,4326,49.218333,-12.578889,POINT (958578.37993952 8605751.270235546),9,0,False,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0
perrieri_620,4326,44.561944,-18.111389,POINT (453655.0801252412 7997435.6652677115),9,0,False,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0
heimii_629,4326,49.583333,-12.970278,POINT (997562.5370361647 8561677.38843384),9,0,False,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0
humbertii_644,4326,43.625806,-23.250722,POINT (359422.60418981465 7428059.369993826),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6,6.0,9.0
pervilleana_677,4326,44.315803,-18.033509,POINT (427581.40448936203 8005973.284074227),9,0,False,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0
perrieri_686,4326,44.156111,-22.718056,POINT (413336.17977458896 7487444.3116107825),9,0,False,1026.0,4.0,147.0,7417.0,9.0,18.0,9,6.0,51.0
pervilleana_691,4326,44.301506,-18.015404,POINT (426060.52627860074 8007970.82406396),9,0,False,71.0,5.0,143.0,7600.0,9.0,18.0,6,8.0,0.0
tsirananae_698,4326,49.3375,-12.323889,POINT (972017.7710497924 8633812.113639003),9,0,False,299.0,18.0,123.0,7208.0,5.0,23.0,5,1.0,40.0
heimii_704,4326,49.583333,-12.970278,POINT (997562.5370361647 8561677.38843384),9,0,False,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0
pervilleana_709,4326,44.561389,-18.117778,POINT (453598.0444822846 7996728.646278196),9,0,False,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0
bertrandii_714,4326,46.674722,-25.122222,POINT (668843.6342847437 7220470.852634992),9,0,False,110.0,15.0,119.0,6517.0,10.0,15.0,7,5.0,88.0
resinosa_717,4326,48.4875,-20.73944,POINT (863246.2277114298 7702770.623389309),9,0,False,13.0,0.0,243.0,7514.0,2.0,21.0,15,3.0,90.0
perrieri_721,4326,46.673333,-24.798889,POINT (669145.0586935519 7256284.505210571),9,0,False,177.0,11.0,154.0,6728.0,10.0,6.0,12,6.0,82.0
resinosa_723,4326,47.70666,-23.1775,POINT (777090.2567903516 7434253.567531984),9,0,False,13.0,0.0,308.0,7382.0,9.0,21.0,15,4.0,12.0
resinosa_725,4326,47.70638,-23.17222,POINT (777072.459374704 7434839.061933706),9,0,False,13.0,0.0,308.0,7382.0,9.0,21.0,15,4.0,12.0
humbertii_726,4326,46.981111,-24.884722,POINT (700125.395282866 7246360.4464457035),9,0,False,308.0,23.0,156.0,5548.0,10.0,9.0,14,5.0,90.0
tsirananae_746,4326,49.21111,-12.17833,POINT (958492.770916003 8650167.71906347),9,0,False,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0
perrieri_748,4326,44.287778,-22.820556,POINT (426912.9520842602 7476168.222233592),9,0,False,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0
millotii_754,4326,49.45445,-17.704817,POINT (972728.9371479002 8036875.3977328995),9,0,False,49.0,7.0,170.0,7377.0,10.0,10.0,4,2.0,67.0
heimii_765,4326,49.45611,-12.58472,POINT (984462.6304257289 8604676.940310588),9,0,False,251.0,3.0,268.0,7940.0,6.0,17.0,6,1.0,21.0
resinosa_770,4326,47.733333,-23.166667,POINT (779844.8451066222 7435402.666992562),9,0,False,13.0,3.0,324.0,7458.0,9.0,21.0,4,4.0,51.0
tsirananae_772,4326,49.35805,-12.35083,POINT (974209.3759546173 8630788.703325663),9,0,False,160.0,11.0,284.0,7929.0,6.0,20.0,5,1.0,55.0
perrieri_778,4326,44.288056,-22.820833,POINT (426941.62881102914 7476137.694961881),9,0,False,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0
resinosa_781,4326,47.700278,-23.178611,POINT (776434.2876125993 7434142.631072203),9,0,False,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0
resinosa_782,4326,47.753611,-23.089722,POINT (782083.1109208111 7443888.286225902),9,1,False,4.0,1.0,296.0,7386.0,2.0,,16,4.0,46.0
resinosa_785,4326,48.43388,-20.95027,POINT (857157.3842089139 7679526.09288253),9,0,False,2.0,0.0,137.0,7490.0,2.0,21.0,16,3.0,14.0
perrieri_786,4326,46.673333,-24.798889,POINT (669145.0586935519 7256284.505210571),9,0,False,177.0,11.0,154.0,6728.0,10.0,6.0,12,6.0,82.0
dubardii_790,4326,49.10972,-12.90888,POINT (946172.4869802331 8569361.573989293),9,0,False,136.0,5.0,287.0,7919.0,7.0,22.0,5,13.0,44.0
resinosa_791,4326,48.48527,-20.76222,POINT (862959.2639645257 7700251.067593895),9,0,False,8.0,1.0,275.0,7513.0,2.0,21.0,15,3.0,55.0
humbertii_797,4326,43.714444,-23.002222,POINT (368248.68293934595 7455656.6169750225),9,0,False,135.0,1.0,184.0,7371.0,5.0,15.0,7,6.0,30.0
dubardii_804,4326,44.732222,-16.931667,POINT (471486.44712923677 8127984.871431336),9,0,False,98.0,4.0,52.0,7811.0,9.0,18.0,5,8.0,49.0
perrieri_807,4326,46.109722,-24.310833,POINT (612602.9442835674 7310910.256040464),9,0,False,427.0,13.0,161.0,6633.0,9.0,22.0,7,6.0,0.0
perrieri_809,4326,46.15777,-24.33638,POINT (617455.2353885227 7308041.618179116),9,0,False,233.0,2.0,235.0,7307.0,9.0,6.0,12,6.0,99.0
resinosa_811,4326,48.482222,-20.801944,POINT (862546.49456094 7695855.550765952),9,1,False,4.0,1.0,241.0,7521.0,,21.0,16,3.0,73.0
resinosa_816,4326,48.605833,-20.359444,POINT (876515.097472524 7744616.072313964),9,0,False,8.0,3.0,292.0,7574.0,1.0,21.0,16,3.0,32.0
perrieri_823,4326,44.272222,-22.853611,POINT (425334.6020387369 7472501.129658243),9,0,False,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0
perrieri_826,4326,44.263056,-22.845833,POINT (424389.89161773876 7473357.517090762),9,0,False,511.0,20.0,64.0,7633.0,9.0,18.0,7,6.0,19.0
perrieri_839,4326,46.145833,-24.303611,POINT (616274.0138389035 7311680.2718815375),9,0,False,372.0,12.0,271.0,7183.0,9.0,22.0,12,6.0,99.0
millotii_844,4326,49.786667,-16.4525,POINT (1011467.5626294343 8174949.434287034),9,0,False,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0
dubardii_854,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0
pervilleana_855,4326,44.561389,-18.117778,POINT (453598.0444822846 7996728.646278196),9,0,False,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0
perrieri_857,4326,44.472222,-17.939722,POINT (444108.44066143275 8016404.069405051),9,0,False,226.0,7.0,256.0,7610.0,7.0,16.0,5,8.0,83.0
dubardii_859,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0
tsirananae_869,4326,49.3375,-12.323889,POINT (972017.7710497924 8633812.113639003),9,0,False,299.0,18.0,123.0,7208.0,5.0,23.0,5,1.0,40.0
dubardii_876,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0
pervilleana_878,4326,44.561389,-18.117778,POINT (453598.0444822846 7996728.646278196),9,0,False,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0
millotii_885,4326,48.556111,-19.158611,POINT (874113.995799795 7877808.812782688),9,0,False,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0
dubardii_886,4326,49.1725,-12.487778,POINT (953747.6522378414 8615930.676070265),9,0,False,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0
dubardii_887,4326,49.218333,-12.578889,POINT (958578.37993952 8605751.270235546),9,0,False,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0
perrieri_888,4326,44.561944,-18.111389,POINT (453655.0801252412 7997435.6652677115),9,0,False,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0
perrieri_892,4326,44.156111,-22.718056,POINT (413336.17977458896 7487444.3116107825),9,0,False,1026.0,4.0,147.0,7417.0,9.0,18.0,9,6.0,51.0
perrieri_894,4326,44.145556,-22.707778,POINT (412245.6174909298 7488575.926597946),9,0,False,906.0,10.0,264.0,7553.0,9.0,18.0,22,6.0,100.0
millotii_899,4326,48.556111,-19.158611,POINT (874113.995799795 7877808.812782688),9,0,False,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0
dubardii_900,4326,49.1725,-12.487778,POINT (953747.6522378414 8615930.676070265),9,0,False,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0
dubardii_901,4326,49.218333,-12.578889,POINT (958578.37993952 8605751.270235546),9,0,False,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0
perrieri_903,4326,44.561944,-18.111389,POINT (453655.0801252412 7997435.6652677115),9,0,False,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0
heimii_914,4326,49.583333,-12.970278,POINT (997562.5370361647 8561677.38843384),9,0,False,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0
abbayesii_924,4326,47.136111,-24.842778,POINT (715860.4092442521 7250769.964015225),9,1,False,5.0,3.0,311.0,7362.0,,21.0,7,5.0,18.0
abbayesii_947,4326,47.166111,-24.796389,POINT (718974.5237810896 7255860.966205925),9,0,False,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0
perrieri_966,4326,44.324103,-18.035903,POINT (428460.9159202189 8005711.63349002),9,0,False,98.0,2.0,223.0,7656.0,9.0,18.0,6,8.0,0.0
pervilleana_967,4326,44.2843,-17.543506,POINT (424039.94182844 8060174.991797281),9,0,False,91.0,2.0,65.0,7729.0,9.0,18.0,7,8.0,27.0
pervilleana_974,4326,44.324308,-18.035903,POINT (428482.61458970286 8005711.7127337),9,0,False,98.0,2.0,223.0,7656.0,9.0,18.0,6,8.0,0.0
perrieri_975,4326,44.287778,-22.820556,POINT (426912.9520842602 7476168.222233592),9,0,False,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0
resinosa_1010,4326,47.683333,-23.183333,POINT (774689.0495582593 7433651.614332899),9,0,False,12.0,2.0,276.0,7297.0,9.0,19.0,16,4.0,0.0
tsirananae_1011,4326,49.21111,-12.17833,POINT (958492.770916003 8650167.71906347),9,0,False,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0
